QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
3,9:32.0,,K. Knox makes 2-pt layup from 1 ft,56,65
3,9:08.0,D. Waiters makes 2-pt layup from 2 ft (assist by G. Dragić),,58,65
3,8:56.0,,Turnover by E. Mudiay (out of bounds lost ball),58,65
3,8:56.0,,K. Allen enters the game for D. Dotson,58,65
3,8:43.0,K. Olynyk misses 2-pt layup from 2 ft,,58,65
3,8:41.0,,Defensive rebound by M. Robinson,58,65
3,8:29.0,,L. Kornet misses 3-pt jump shot from 25 ft,58,65
3,8:27.0,Defensive rebound by D. Jones,,58,65
3,8:14.0,,Violation by Team (kicked ball),58,65
3,8:02.0,Shooting foul by M. Robinson (drawn by K. Olynyk),,58,65
3,8:02.0,K. Olynyk makes free throw 1 of 2,,59,65
3,8:02.0,K. Olynyk makes free throw 2 of 2,,60,65
3,7:54.0,,Turnover by K. Allen (traveling),60,65
3,7:38.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by D. Waiters),,63,65
3,7:37.0,,New York full timeout,63,65
3,7:22.0,,E. Mudiay makes 2-pt jump shot from 16 ft (assist by K. Allen),63,67
3,7:03.0,G. Dragić misses 3-pt jump shot from 26 ft,,63,67
3,7:01.0,Offensive rebound by K. Olynyk,,63,67
3,6:52.0,D. Waiters makes 3-pt jump shot from 23 ft,,66,67
3,6:37.0,,K. Knox makes 2-pt dunk from 1 ft (assist by K. Allen),66,69
3,6:18.0,K. Olynyk makes 2-pt hook shot from 6 ft,,68,69
3,6:00.0,,K. Allen misses 3-pt jump shot from 22 ft,68,69
3,5:58.0,Defensive rebound by B. Adebayo,,68,69
3,5:52.0,Turnover by D. Jones (out of bounds lost ball),,68,69
3,5:52.0,D. Wade enters the game for G. Dragić,,68,69
3,5:39.0,,Turnover by K. Knox (out of bounds lost ball),68,69
3,5:39.0,,L. Thomas enters the game for L. Kornet,68,69
3,5:16.0,D. Waiters makes 2-pt layup at rim,,70,69
3,5:03.0,,Shooting foul by K. Olynyk (drawn by L. Thomas),70,69
3,5:03.0,,L. Thomas makes free throw 1 of 2,70,70
3,5:03.0,,L. Thomas makes free throw 2 of 2,70,71
3,4:51.0,K. Olynyk misses 3-pt jump shot from 26 ft,,70,71
3,4:49.0,,Defensive rebound by M. Robinson,70,71
3,4:35.0,,E. Mudiay misses 3-pt jump shot from 26 ft,70,71
3,4:33.0,Defensive rebound by D. Waiters,,70,71
3,4:24.0,K. Olynyk makes 2-pt layup from 1 ft (assist by D. Waiters),,72,71
3,4:03.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by K. Allen),72,74
3,3:47.0,D. Wade makes 2-pt dunk from 1 ft (assist by K. Olynyk),,74,74
3,3:20.0,,K. Knox misses 3-pt jump shot from 28 ft,74,74
3,3:18.0,Defensive rebound by D. Wade,,74,74
3,3:07.0,D. Waiters makes 2-pt layup from 1 ft,,76,74
3,3:06.0,,New York full timeout,76,74
3,3:06.0,J. Johnson enters the game for D. Jones,,76,74
3,3:06.0,,L. Kornet enters the game for E. Mudiay,76,74
3,3:06.0,,D. Smith enters the game for M. Robinson,76,74
3,2:49.0,,D. Smith misses 2-pt jump shot from 11 ft (block by D. Wade),76,74
3,2:47.0,Defensive rebound by D. Wade,,76,74
3,2:40.0,D. Waiters misses 3-pt jump shot from 26 ft,,76,74
3,2:38.0,,Defensive rebound by D. Smith,76,74
3,2:17.0,,Shooting foul by J. Johnson (drawn by K. Allen),76,74
3,2:17.0,,K. Allen misses free throw 1 of 2,76,74
3,2:17.0,,Offensive rebound by Team,76,74
3,2:17.0,,K. Allen makes free throw 2 of 2,76,75
3,1:56.0,K. Olynyk misses 2-pt jump shot from 14 ft,,76,75
3,1:54.0,Offensive rebound by K. Olynyk,,76,75
3,1:50.0,D. Wade misses 2-pt layup from 2 ft (block by L. Kornet),,76,75
3,1:48.0,Offensive rebound by D. Wade,,76,75
3,1:40.0,D. Wade misses 2-pt layup from 1 ft,,76,75
3,1:38.0,Offensive rebound by K. Olynyk,,76,75
3,1:34.0,Offensive foul by D. Wade (drawn by L. Kornet),,76,75
