QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
3,6:40.0,,L. Dončić makes 2-pt jump shot from 11 ft (assist by W. Matthews),58,73
3,6:22.0,S. Adams makes 2-pt dunk from 2 ft (assist by D. Schröder),,60,73
3,6:00.0,,D. Smith misses 2-pt layup from 1 ft,60,73
3,5:58.0,Defensive rebound by S. Adams,,60,73
3,5:54.0,Personal foul by D. Smith (drawn by J. Grant),,60,73
3,5:35.0,D. Schröder makes 2-pt jump shot from 10 ft,,62,73
3,5:15.0,,L. Dončić makes 2-pt jump shot from 3 ft,62,75
3,5:02.0,D. Schröder misses 2-pt layup from 4 ft (block by D. Smith),,62,75
3,4:59.0,,Defensive rebound by L. Dončić,62,75
3,4:50.0,,D. Smith misses 2-pt jump shot from 11 ft,62,75
3,4:48.0,,Offensive rebound by Team,62,75
3,4:48.0,Loose ball foul by S. Adams (drawn by D. Jordan),,62,75
3,4:48.0,N. Noel enters the game for S. Adams,,62,75
3,4:48.0,,J. Barea enters the game for W. Matthews,62,75
3,4:48.0,,D. Finney-Smith enters the game for D. Smith,62,75
3,4:42.0,,L. Dončić misses 3-pt jump shot from 25 ft,62,75
3,4:40.0,,Offensive rebound by D. Jordan,62,75
3,4:40.0,,Personal foul by Á. Abrines (drawn by D. Jordan),62,75
3,4:33.0,,H. Barnes misses 3-pt jump shot from 25 ft,62,75
3,4:29.0,Defensive rebound by Á. Abrines,,62,75
3,4:27.0,D. Schröder misses 2-pt jump shot from 8 ft,,62,75
3,4:25.0,Offensive rebound by N. Noel,,62,75
3,4:25.0,N. Noel misses 2-pt layup from 6 ft,,62,75
3,4:24.0,Offensive rebound by J. Grant,,62,75
3,4:22.0,Shooting foul by D. Finney-Smith (drawn by J. Grant),,62,75
3,4:22.0,J. Grant makes free throw 1 of 2,,63,75
3,4:22.0,J. Grant makes free throw 2 of 2,,64,75
3,4:05.0,,J. Barea misses 2-pt layup from 7 ft (block by N. Noel),64,75
3,4:03.0,Defensive rebound by Á. Abrines,,64,75
3,3:59.0,P. George misses 2-pt layup from 4 ft (block by D. Jordan),,64,75
