QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
3,1:35.0,A. Tolliver misses 3-pt jump shot from 26 ft,,74,88
3,1:35.0,Offensive rebound by Team,,74,88
3,1:35.0,,Loose ball foul by N. Hilário (drawn by T. Gibson),74,88
3,1:35.0,T. Gibson makes free throw 1 of 2,,75,88
3,1:35.0,T. Gibson makes free throw 2 of 2,,76,88
3,1:26.0,,Personal foul by T. Gibson (drawn by N. Hilário),76,88
3,1:12.0,,N. Hilário makes 2-pt hook shot from 9 ft (assist by C. Paul),76,90
3,0:53.0,Personal foul by I. Shumpert (drawn by T. Gibson),,76,90
3,0:53.0,T. Gibson makes free throw 1 of 2,,77,90
3,0:53.0,T. Gibson makes free throw 2 of 2,,78,90
3,0:36.0,,C. Paul misses 3-pt jump shot from 28 ft,78,90
3,0:34.0,Defensive rebound by T. Gibson,,78,90
3,0:26.0,K. Bates-Diop misses 3-pt jump shot from 23 ft,,78,90
3,0:25.0,,Defensive rebound by C. Paul,78,90
3,0:02.0,,Shooting foul by K. Bates-Diop (drawn by C. Paul),78,90
3,0:02.0,,C. Paul makes free throw 1 of 3,78,91
3,0:02.0,,C. Paul makes free throw 2 of 3,78,92
3,0:02.0,,C. Paul makes free throw 3 of 3,78,93
3,0:01.0,Turnover by T. Gibson (bad pass; steal by G. Green),,78,93
3,0:00.0,,G. Green misses 3-pt jump shot from 26 ft,78,93
3,0:00.0,,Offensive rebound by Team,78,93
4,11:40.0,K. Bates-Diop makes 2-pt jump shot from 10 ft,,80,93
4,11:25.0,,Shooting foul by A. Tolliver (drawn by D. House),80,93
4,11:25.0,,D. House makes free throw 1 of 2,80,94
4,11:25.0,,D. House misses free throw 2 of 2,80,94
4,11:25.0,Defensive rebound by K. Bates-Diop,,80,94
4,11:12.0,Offensive foul by T. Gibson (drawn by I. Shumpert),,80,94
4,11:12.0,Turnover by T. Gibson (offensive foul),,80,94
4,10:51.0,,C. Paul misses 2-pt jump shot from 11 ft,80,94
4,10:50.0,,Offensive rebound by Team,80,94
4,10:47.0,,G. Green misses 2-pt jump shot from 20 ft,80,94
4,10:45.0,,Offensive rebound by I. Shumpert,80,94
4,10:32.0,,C. Paul misses 2-pt jump shot from 14 ft,80,94
4,10:31.0,,Offensive rebound by N. Hilário,80,94
4,10:22.0,,Turnover by C. Paul (bad pass; steal by K. Bates-Diop),80,94
4,10:19.0,Turnover by K. Bates-Diop (lost ball; steal by I. Shumpert),,80,94
4,10:15.0,,G. Green misses 3-pt jump shot from 26 ft,80,94
4,10:12.0,,Offensive rebound by D. House,80,94
4,10:11.0,,Turnover by D. House (bad pass),80,94
4,10:11.0,,E. Gordon enters the game for G. Green,80,94
4,9:55.0,J. Bayless makes 2-pt layup from 3 ft,,82,94
4,9:44.0,,E. Gordon misses 3-pt jump shot from 23 ft,82,94
4,9:42.0,Defensive rebound by A. Tolliver,,82,94
4,9:30.0,J. Bayless misses 2-pt jump shot from 19 ft,,82,94
4,9:29.0,,Defensive rebound by D. House,82,94
4,9:22.0,,I. Shumpert makes 2-pt jump shot from 20 ft (assist by C. Paul),82,96
4,9:10.0,A. Tolliver misses 3-pt jump shot from 29 ft,,82,96
4,9:08.0,,Defensive rebound by I. Shumpert,82,96
4,8:54.0,,N. Hilário misses 2-pt jump shot from 19 ft,82,96
4,8:53.0,Defensive rebound by T. Gibson,,82,96
4,8:46.0,Minnesota full timeout,,82,96
4,8:46.0,D. Šarić enters the game for T. Gibson,,82,96
4,8:46.0,K. Towns enters the game for C. Reynolds,,82,96
4,8:46.0,A. Wiggins enters the game for A. Tolliver,,82,96
4,8:46.0,,C. Capela enters the game for N. Hilário,82,96
4,8:46.0,,P. Tucker enters the game for I. Shumpert,82,96
4,8:38.0,A. Wiggins misses 2-pt jump shot from 21 ft,,82,96
4,8:36.0,,Defensive rebound by C. Paul,82,96
4,8:30.0,,C. Capela makes 2-pt layup from 1 ft (assist by C. Paul),82,98
4,8:16.0,K. Towns misses 2-pt jump shot from 12 ft,,82,98
4,8:15.0,,Defensive rebound by P. Tucker,82,98
4,8:07.0,,Shooting foul by J. Bayless (drawn by C. Capela),82,98
4,8:07.0,,C. Capela misses free throw 1 of 2,82,98
4,8:07.0,,Offensive rebound by Team,82,98
4,8:07.0,,C. Capela makes free throw 2 of 2,82,99
4,7:53.0,K. Bates-Diop makes 2-pt layup from 2 ft (assist by K. Towns),,84,99
4,7:31.0,,C. Capela makes 2-pt jump shot from 3 ft (assist by C. Paul),84,101
4,7:11.0,K. Towns misses 2-pt hook shot from 8 ft,,84,101
4,7:09.0,,Defensive rebound by C. Paul,84,101
4,7:09.0,,Personal foul by K. Towns (drawn by C. Capela),84,101
4,7:09.0,T. Jones enters the game for K. Bates-Diop,,84,101
4,7:09.0,J. Okogie enters the game for J. Bayless,,84,101
4,7:09.0,,J. Harden enters the game for D. House,84,101
4,7:01.0,,E. Gordon makes 3-pt jump shot from 23 ft (assist by C. Paul),84,104
4,6:49.0,A. Wiggins misses 2-pt jump shot from 14 ft,,84,104
4,6:48.0,,Defensive rebound by Team,84,104
4,6:39.0,,C. Paul makes 2-pt jump shot from 13 ft,84,106
4,6:24.0,Personal foul by C. Capela (drawn by K. Towns),,84,106
4,6:24.0,,I. Shumpert enters the game for C. Paul,84,106
