QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
4,8:51.0,J. Nurkić makes 2-pt jump shot from 21 ft (assist by E. Turner),,96,107
4,8:28.0,,Turnover by L. Stephenson (bad pass; steal by J. Nurkić),96,107
4,8:24.0,Turnover by J. Nurkić (lost ball; steal by R. Rondo),,96,107
4,8:19.0,,J. Hart misses 3-pt jump shot from 25 ft,96,107
4,8:15.0,Defensive rebound by D. Lillard,,96,107
4,8:08.0,Turnover by D. Lillard (bad pass; steal by J. McGee),,96,107
4,8:03.0,,L. Stephenson makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),96,109
4,7:42.0,E. Turner misses 3-pt jump shot from 27 ft,,96,109
4,7:40.0,,Defensive rebound by R. Rondo,96,109
4,7:36.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by R. Rondo),96,112
4,7:24.0,D. Lillard misses 3-pt jump shot from 27 ft,,96,112
4,7:17.0,,Defensive rebound by K. Caldwell-Pope,96,112
4,7:16.0,,L. Stephenson misses 3-pt jump shot from 26 ft,96,112
4,7:13.0,Defensive rebound by J. Layman,,96,112
4,7:04.0,C. McCollum makes 2-pt layup from 2 ft,,98,112
4,7:03.0,,LA Lakers full timeout,98,112
4,7:03.0,A. Aminu enters the game for E. Turner,,98,112
4,7:03.0,,T. Chandler enters the game for J. Hart,98,112
4,7:03.0,,B. Ingram enters the game for J. McGee,98,112
4,7:03.0,,L. James enters the game for L. Stephenson,98,112
4,6:55.0,,Personal foul by J. Layman (drawn by B. Ingram),98,112
