QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
4,7:34.0,Turnover by T. Hardaway (lost ball; steal by K. Irving),,94,79
4,7:34.0,Clear path foul by K. Irving,,94,79
4,7:34.0,,K. Irving makes clear path free throw 1 of 2,94,80
4,7:34.0,,K. Irving makes clear path free throw 2 of 2,94,81
4,7:25.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by M. Smart),94,84
4,7:09.0,T. Burke makes 2-pt jump shot from 19 ft,,96,84
4,7:01.0,,K. Irving misses 3-pt jump shot from 27 ft,96,84
4,6:59.0,Defensive rebound by K. Knox,,96,84
4,6:42.0,Turnover by T. Hardaway (lost ball; steal by G. Hayward),,96,84
4,6:40.0,,A. Horford misses 2-pt layup from 6 ft (block by K. Knox),96,84
4,6:39.0,Defensive rebound by Team,,96,84
4,6:39.0,,Boston full timeout,96,84
4,6:39.0,,J. Brown enters the game for A. Horford,96,84
4,6:39.0,,M. Morris enters the game for T. Rozier,96,84
