QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
4,7:48.0,P. Gasol makes 2-pt dunk at rim (assist by M. Belinelli),,113,94
4,7:32.0,,J. Holiday misses 2-pt jump shot from 11 ft,113,94
4,7:32.0,,Offensive rebound by J. Okafor,113,94
4,7:24.0,,J. Okafor makes 2-pt jump shot from 8 ft (assist by S. Hill),113,96
4,7:02.0,L. Walker makes 3-pt jump shot from 23 ft (assist by P. Gasol),,116,96
4,6:47.0,,F. Jackson makes 2-pt jump shot from 5 ft (assist by J. Holiday),116,98
4,6:47.0,,Shooting foul by L. Walker (drawn by F. Jackson),116,98
4,6:47.0,,E. Payton enters the game for J. Holiday,116,98
4,6:47.0,,F. Jackson makes free throw 1 of 1,116,99
4,6:28.0,D. White makes 2-pt layup from 2 ft (assist by L. Walker),,118,99
4,6:28.0,Shooting foul by T. Frazier (drawn by D. White),,118,99
4,6:28.0,B. Forbes enters the game for R. Gay,,118,99
4,6:28.0,,D. Miller enters the game for F. Jackson,118,99
4,6:28.0,D. White makes free throw 1 of 1,,119,99
4,6:23.0,,Personal foul by D. White (drawn by D. Miller),119,99
4,6:12.0,,E. Payton misses 3-pt jump shot from 27 ft,119,99
