QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
4,7:43.0,,D. Brooks makes 2-pt layup from 2 ft (assist by S. Mack),80,76
4,7:22.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by J. Calderón),,83,76
4,7:08.0,,Shooting foul by J. Calderón (drawn by S. Mack),83,76
4,7:08.0,,S. Mack makes free throw 1 of 2,83,77
4,7:08.0,,K. Anderson enters the game for G. Temple,83,77
4,7:08.0,,S. Mack makes free throw 2 of 2,83,78
4,7:08.0,Detroit full timeout,,83,78
4,7:08.0,B. Griffin enters the game for J. Leuer,,83,78
4,6:45.0,B. Griffin misses 3-pt jump shot from 26 ft,,83,78
4,6:41.0,,Defensive rebound by D. Brooks,83,78
4,6:30.0,,Shooting foul by J. Calderón (drawn by D. Brooks),83,78
4,6:30.0,,D. Brooks makes free throw 1 of 2,83,79
4,6:30.0,R. Jackson enters the game for J. Calderón,,83,79
4,6:30.0,,D. Brooks makes free throw 2 of 2,83,80
4,6:16.0,Turnover by (5 sec),,83,80
4,6:01.0,,D. Brooks misses 2-pt layup from 8 ft,83,80
4,5:58.0,,Offensive rebound by D. Brooks,83,80
4,5:58.0,,D. Brooks makes 2-pt layup from 1 ft,83,82
4,5:43.0,L. Kennard makes 3-pt jump shot from 23 ft (assist by B. Griffin),,86,82
4,5:21.0,,S. Mack misses 2-pt layup from 3 ft,86,82
4,5:18.0,,Offensive rebound by J. Green,86,82
4,5:18.0,,J. Green misses 2-pt layup from 1 ft,86,82
4,5:18.0,Defensive rebound by L. Kennard,,86,82
4,4:56.0,L. Kennard makes 3-pt jump shot from 26 ft,,89,82
4,4:36.0,,S. Mack misses 3-pt jump shot from 25 ft,89,82
4,4:33.0,Defensive rebound by R. Jackson,,89,82
4,4:19.0,R. Jackson makes 2-pt jump shot from 7 ft,,91,82
4,4:19.0,,Memphis full timeout,91,82
4,4:19.0,R. Bullock enters the game for L. Galloway,,91,82
4,4:19.0,,M. Conley enters the game for D. Brooks,91,82
4,4:19.0,,M. Gasol enters the game for J. Green,91,82
4,4:19.0,,G. Temple enters the game for S. Mack,91,82
4,4:10.0,,M. Conley misses 3-pt jump shot from 26 ft,91,82
4,4:07.0,Defensive rebound by A. Drummond,,91,82
4,3:47.0,B. Griffin makes 2-pt jump shot from 13 ft,,93,82
4,3:33.0,,Offensive foul by M. Gasol (drawn by B. Griffin),93,82
4,3:33.0,,Turnover by M. Gasol (offensive foul),93,82
4,3:18.0,Shooting foul by J. Jackson (drawn by B. Griffin),,93,82
4,3:18.0,B. Griffin misses free throw 1 of 2,,93,82
4,3:18.0,Offensive rebound by Team,,93,82
4,3:18.0,B. Griffin makes free throw 2 of 2,,94,82
4,3:06.0,,M. Conley misses 2-pt jump shot from 20 ft,94,82
4,3:02.0,Defensive rebound by R. Jackson,,94,82
4,2:45.0,B. Griffin makes 2-pt jump shot from 8 ft (assist by R. Jackson),,96,82
4,2:39.0,,Memphis full timeout,96,82
4,2:39.0,,J. Green enters the game for M. Conley,96,82
4,2:39.0,,S. Mack enters the game for M. Gasol,96,82
4,2:35.0,,S. Mack misses 2-pt layup from 1 ft (block by R. Jackson),96,82
4,2:33.0,Defensive rebound by L. Kennard,,96,82
4,2:16.0,R. Jackson misses 3-pt jump shot from 25 ft,,96,82
4,2:12.0,,Defensive rebound by S. Mack,96,82
4,2:05.0,,K. Anderson makes 2-pt jump shot from 4 ft (assist by S. Mack),96,84
4,1:47.0,A. Drummond misses 2-pt jump shot from 11 ft,,96,84
4,1:44.0,,Defensive rebound by J. Jackson,96,84
4,1:40.0,,K. Anderson makes 2-pt layup from 1 ft (assist by S. Mack),96,86
4,1:18.0,R. Bullock misses 3-pt jump shot from 23 ft,,96,86
4,1:16.0,,Defensive rebound by K. Anderson,96,86
4,1:11.0,,Personal foul by B. Griffin (drawn by K. Anderson),96,86
4,1:11.0,,K. Anderson makes free throw 1 of 2,96,87
4,1:11.0,,K. Anderson misses free throw 2 of 2,96,87
4,1:09.0,Defensive rebound by R. Jackson,,96,87
4,1:09.0,Detroit full timeout,,96,87
4,1:09.0,L. Galloway enters the game for A. Drummond,,96,87
4,1:02.0,Personal take foul by G. Temple (drawn by L. Kennard),,96,87
4,1:02.0,L. Kennard makes free throw 1 of 2,,97,87
