QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
4,8:27.0,,Turnover by M. Morris (discontinued dribble),66,85
4,8:07.0,B. Griffin misses 2-pt layup from 5 ft,,66,85
4,8:05.0,,Defensive rebound by P. Millsap,66,85
4,7:58.0,,P. Millsap misses 2-pt jump shot from 5 ft,66,85
4,7:57.0,,Offensive rebound by P. Millsap,66,85
4,7:54.0,,M. Morris misses 3-pt jump shot from 22 ft,66,85
4,7:53.0,,Offensive rebound by M. Plumlee,66,85
4,7:49.0,,Offensive foul by G. Harris (drawn by R. Jackson),66,85
4,7:49.0,,Turnover by G. Harris (offensive foul),66,85
4,7:49.0,Technical foul by A. Drummond,,66,85
4,7:49.0,,N. Jokić enters the game for M. Plumlee,66,85
4,7:49.0,,J. Murray misses technical free throw,66,85
4,7:49.0,Defensive rebound by Team,,66,85
4,7:37.0,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),,68,85
4,7:37.0,Shooting foul by J. Murray (drawn by A. Drummond),,68,85
4,7:37.0,A. Drummond misses free throw 1 of 1,,68,85
4,7:35.0,,Defensive rebound by N. Jokić,68,85
4,7:26.0,,J. Murray misses 3-pt jump shot from 25 ft,68,85
4,7:23.0,Defensive rebound by B. Griffin,,68,85
4,7:15.0,R. Jackson makes 2-pt layup from 2 ft,,70,85
4,7:02.0,,N. Jokić misses 2-pt hook shot from 5 ft,70,85
4,6:59.0,Defensive rebound by L. Kennard,,70,85
4,6:46.0,A. Drummond misses 2-pt hook shot from 4 ft,,70,85
4,6:45.0,,Defensive rebound by N. Jokić,70,85
4,6:34.0,,J. Murray misses 2-pt jump shot from 19 ft,70,85
4,6:32.0,Defensive rebound by L. Kennard,,70,85
4,6:13.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,73,85
4,6:12.0,,Denver full timeout,73,85
4,6:12.0,,W. Barton enters the game for M. Morris,73,85
