QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
4,7:49.0,G. Dragić makes 2-pt layup from 2 ft,,98,82
4,7:39.0,,P. George misses 2-pt jump shot from 6 ft (block by J. Johnson),98,82
4,7:36.0,Defensive rebound by G. Dragić,,98,82
4,7:29.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,101,82
4,7:28.0,,Oklahoma City full timeout,101,82
4,7:28.0,,S. Adams enters the game for P. Patterson,101,82
4,7:17.0,,D. Schröder misses 2-pt layup from 2 ft,101,82
4,7:15.0,Defensive rebound by G. Dragić,,101,82
4,7:00.0,B. Adebayo misses 2-pt layup from 2 ft,,101,82
4,6:58.0,,Defensive rebound by S. Adams,101,82
4,6:56.0,,Shooting foul by G. Dragić (drawn by D. Schröder),101,82
4,6:56.0,,D. Schröder makes free throw 1 of 2,101,83
4,6:56.0,,J. Grant enters the game for D. Burton,101,83
4,6:56.0,,D. Schröder makes free throw 2 of 2,101,84
4,6:44.0,J. Johnson makes 2-pt dunk from 1 ft (assist by G. Dragić),,103,84
4,6:35.0,,D. Schröder makes 2-pt jump shot from 9 ft,103,86
4,6:21.0,G. Dragić misses 3-pt jump shot from 26 ft,,103,86
4,6:19.0,,Defensive rebound by S. Adams,103,86
4,6:12.0,,D. Schröder makes 3-pt jump shot from 25 ft,103,89
4,5:52.0,J. Richardson misses 3-pt jump shot from 25 ft,,103,89
4,5:48.0,,Defensive rebound by P. George,103,89
4,5:45.0,,P. George makes 2-pt layup from 1 ft,103,91
4,5:45.0,,Shooting foul by B. Adebayo (drawn by P. George),103,91
4,5:45.0,K. Olynyk enters the game for J. Johnson,,103,91
4,5:45.0,,P. George makes free throw 1 of 1,103,92
4,5:21.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,106,92
