QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
4,8:31.0,,Offensive rebound by E. Fournier,97,93
4,8:28.0,,E. Fournier makes 3-pt jump shot from 23 ft,97,96
4,8:13.0,T. Lyles misses 3-pt jump shot from 27 ft,,97,96
4,8:13.0,,Defensive rebound by M. Bamba,97,96
4,8:00.0,,M. Bamba misses 2-pt jump shot from 10 ft,97,96
4,7:58.0,Defensive rebound by T. Lyles,,97,96
4,7:42.0,J. Murray misses 2-pt jump shot from 19 ft,,97,96
4,7:37.0,Offensive rebound by M. Morris,,97,96
4,7:29.0,Turnover by M. Morris (lost ball; steal by M. Bamba),,97,96
4,7:21.0,,E. Fournier misses 3-pt jump shot from 28 ft,97,96
4,7:17.0,Defensive rebound by M. Beasley,,97,96
4,7:08.0,Offensive foul by T. Lyles (drawn by E. Fournier),,97,96
4,7:08.0,Turnover by T. Lyles (offensive foul),,97,96
4,7:08.0,,A. Gordon enters the game for J. Isaac,97,96
4,6:55.0,,T. Ross makes 2-pt jump shot from 6 ft (assist by E. Fournier),97,98
4,6:55.0,Denver full timeout,,97,98
4,6:44.0,M. Morris misses 2-pt layup from 3 ft,,97,98
4,6:44.0,Offensive rebound by M. Plumlee,,97,98
4,6:44.0,Shooting foul by E. Fournier (drawn by M. Plumlee),,97,98
4,6:44.0,M. Plumlee misses free throw 1 of 2,,97,98
4,6:44.0,Offensive rebound by Team,,97,98
4,6:44.0,J. Hernangómez enters the game for J. Murray,,97,98
4,6:44.0,M. Plumlee misses free throw 2 of 2,,97,98
4,6:44.0,Offensive rebound by Team,,97,98
4,6:44.0,,Loose ball foul by M. Bamba (drawn by T. Lyles),97,98
4,6:44.0,T. Lyles misses free throw 1 of 2,,97,98
4,6:44.0,Offensive rebound by Team,,97,98
4,6:44.0,T. Lyles makes free throw 2 of 2,,98,98
4,6:28.0,,J. Grant misses 3-pt jump shot from 26 ft,98,98
4,6:22.0,,Offensive rebound by M. Bamba,98,98
4,6:14.0,,J. Grant misses 2-pt jump shot from 6 ft,98,98
4,6:13.0,Defensive rebound by Team,,98,98
4,6:13.0,,Loose ball foul by J. Grant (drawn by M. Plumlee),98,98
4,6:13.0,M. Plumlee makes free throw 1 of 2,,99,98
4,6:13.0,P. Millsap enters the game for T. Lyles,,99,98
4,6:13.0,J. Murray enters the game for M. Morris,,99,98
4,6:13.0,,N. Vučević enters the game for M. Bamba,99,98
4,6:13.0,M. Plumlee misses free throw 2 of 2,,99,98
4,6:10.0,,Defensive rebound by N. Vučević,99,98
