id,players,team
238,"{'K. Oubre', 'J. Wall', 'A. Rivers', 'O. Porter', 'J. Green'}",WAS
239,"{'J. Wall', 'B. Beal', 'O. Porter', 'M. Morris', 'J. Smith'}",WAS
240,"{'J. Wall', 'B. Beal', 'O. Porter', 'J. Green', 'M. Morris'}",WAS
241,"{'K. Oubre', 'J. Wall', 'B. Beal', 'O. Porter', 'J. Green'}",WAS
242,"{'K. Oubre', 'J. Wall', 'A. Rivers', 'B. Beal', 'J. Green'}",WAS
243,"{'K. Oubre', 'J. Wall', 'A. Rivers', 'T. Satoranský', 'J. Green'}",WAS
244,"{'K. Oubre', 'A. Rivers', 'T. Satoranský', 'J. Green', 'J. McRae'}",WAS
245,"{'K. Oubre', 'B. Beal', 'A. Rivers', 'T. Satoranský', 'J. Green'}",WAS
246,"{'K. Oubre', 'A. Rivers', 'T. Satoranský', 'O. Porter', 'J. Green'}",WAS
247,"{'J. Wall', 'B. Beal', 'A. Rivers', 'O. Porter', 'J. Green'}",WAS
248,"{'S. Gilgeous-Alexander', 'B. Marjanović', 'L. Mbah a Moute', 'M. Harrell', 'L. Williams'}",LAC
249,"{'P. Beverley', 'B. Marjanović', 'L. Williams', 'T. Harris', 'D. Gallinari'}",LAC
250,"{'M. Gortat', 'A. Bradley', 'P. Beverley', 'L. Williams', 'D. Gallinari'}",LAC
251,"{'A. Bradley', 'P. Beverley', 'M. Harrell', 'L. Williams', 'D. Gallinari'}",LAC
252,"{'S. Gilgeous-Alexander', 'A. Bradley', 'B. Marjanović', 'L. Williams', 'T. Harris'}",LAC
253,"{'B. Marjanović', 'L. Mbah a Moute', 'L. Williams', 'L. Mbah', 'T. Harris'}",LAC
254,"{'M. Conley', 'J. Green', 'C. Parsons', 'G. Temple', 'M. Gasol'}",MEM
255,"{'K. Anderson', 'M. Conley', 'J. Green', 'M. Gasol', 'G. Temple'}",MEM
256,"{'K. Anderson', 'M. Conley', 'M. Gasol', 'G. Temple', 'J. Jackson'}",MEM
257,"{'K. Anderson', 'S. Mack', 'M. Gasol', 'W. Selden', 'J. Jackson'}",MEM
258,"{'K. Anderson', 'D. Brooks', 'S. Mack', 'W. Selden', 'J. Jackson'}",MEM
